Epoch Time,x,y,z
1717694302.0846949,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694302.0947337,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694302.1047728,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694302.1148117,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694302.1248507,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694302.1348898,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694302.1449287,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694302.1549678,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.1650066,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.1750457,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.1850848,-391.34926266140405,-391.37261885183824,-391.34926266140405
1717694302.1951237,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.2051628,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694302.2152016,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.2252407,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694302.2352798,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694302.2453187,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694302.2553577,-391.37261885183824,-391.37261885183824,-391.37261885183824
1717694302.2653966,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.2754357,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694302.2854748,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.2955136,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694302.3055527,-391.37261885183824,-391.384274871261,-391.34926266140405
1717694302.3155916,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694302.3256307,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.3356698,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694302.3457086,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.3557477,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.3657866,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.3758256,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.3858645,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694302.3959036,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694302.4059427,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.4159815,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694302.4260206,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694302.4360595,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694302.4460986,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.4561377,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.4661765,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694302.4762156,-391.37261885183824,-391.3609186808268,-391.3609186808268
1717694302.4862545,-391.3609186808268,-391.3609186808268,-391.3609186808268
1717694302.4962935,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694302.5063326,-391.37261885183824,-391.34926266140405,-391.3609186808268
1717694302.5163715,-391.3609186808268,-391.3609186808268,-391.37261885183824
1717694302.5264106,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694302.5364494,-391.34926266140405,-391.3609186808268,-391.34926266140405
1717694302.5464885,-391.3609186808268,-391.34926266140405,-391.37261885183824
1717694302.5565276,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.5665665,-391.34926266140405,-391.37261885183824,-391.37261885183824
1717694302.5766056,-391.37261885183824,-391.37261885183824,-391.34926266140405
1717694302.5866444,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694302.5966835,-391.37261885183824,-391.3609186808268,-391.34926266140405
1717694302.6067226,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.6167614,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.6268005,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.6368394,-391.34926266140405,-391.3609186808268,-391.3609186808268
1717694302.6468785,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694302.6569176,-391.37261885183824,-391.37261885183824,-391.3609186808268
1717694302.6669564,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694302.6769955,-391.37261885183824,-391.3609186808268,-391.37261885183824
1717694302.6870344,-391.3609186808268,-391.34926266140405,-391.3609186808268
1717694302.6970735,-391.3609186808268,-391.37261885183824,-391.3609186808268
1717694302.7071126,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694302.7171514,-391.3609186808268,-391.37261885183824,-391.34926266140405
1717694302.7271905,-391.3609186808268,-391.37261885183824,-391.37261885183824
1717694302.7372293,-391.3609186808268,-391.3609186808268,-391.34926266140405
1717694302.7472684,-391.37261885183824,-391.3609186808268,-391.3609186808268
